"cluster_method","k","ARI","CHI","BIC","PED","Runtime_seconds","scenario","sim_method","seed"
"flexmix",4,0.176677041746938,158.810342463225,19254.9668228505,NA,1.01392722129822,"SCE2","LME-S",1
"flexmix",5,0.176677041746938,158.810342463225,19254.9752139318,NA,0.947492837905884,"SCE2","LME-S",1
"LCMM",2,0.0352684933204335,208.443123550333,23159.660415348,NA,16.2858941555023,"SCE2","LME-S",1
"LCMM",3,0.0496737806168769,224.213195723363,23171.6433444082,NA,32.3095378875732,"SCE2","LME-S",1
"LCMM",4,0.0691523672422276,242.143686268457,23183.6264653753,NA,80.0329098701477,"SCE2","LME-S",1
"LCMM",5,0.141857491946285,184.217124305726,23157.4905988144,NA,130.943956136703,"SCE2","LME-S",1
"GBMT",2,0.696464430390711,145.468152373387,242517.274289907,NA,31.5364239215851,"SCE3","LME-S",1
"GBMT",3,0.433327954481207,111.441798124981,230122.745498425,NA,122.190505027771,"SCE3","LME-S",1
"GBMT",4,0.347494622770776,74.2151514976925,225637.35239445,NA,89.2457733154297,"SCE3","LME-S",1
"GBMT",5,0.371972520717758,44.780182322933,226121.389613675,NA,102.878691911697,"SCE3","LME-S",1
"KML3D",2,0.158650466914349,102.225683169923,NA,NA,0.386744976043701,"SCE3","LME-S",1
"KML3D",3,0.297611938892317,91.4759698596986,NA,NA,0.540838718414307,"SCE3","LME-S",1
"KML3D",4,0.12653374970517,70.7609690774203,NA,NA,0.60099720954895,"SCE3","LME-S",1
"KML3D",5,0.205978261382094,63.5639832766824,NA,NA,0.679635047912598,"SCE3","LME-S",1
"flexmix",2,0.474790134493319,137.965752614967,249027.990321423,NA,0.318915128707886,"SCE3","LME-S",1
"flexmix",3,0.331727026742783,112.654634470842,240418.747539576,NA,0.710091829299927,"SCE3","LME-S",1
"flexmix",4,0.275922180303816,84.2169591473605,233883.791531701,NA,3.34269523620605,"SCE3","LME-S",1
"flexmix",5,0.253982491930849,67.7225629444686,230347.635221744,NA,5.22413110733032,"SCE3","LME-S",1
