"scenario","sim_method","cluster_method","k","n_seeds","ARI_mean","ARI_sd","ARI_se","CHI_mean","CHI_sd","CHI_se","BIC_mean","BIC_sd","PED_mean","PED_sd","Runtime_mean"
"SCE2","MICE-L","KML3D",2,10,0.226437733566805,0.0381037974419328,0.0120494787418205,238.43785587822,23.9578392957357,7.57613399908092,NA,NA,NA,NA,0.194830274581909
"SCE2","MICE-L","KML3D",3,10,0.252716287964535,0.040575057495346,0.012830959787758,173.392435362646,13.3928403579415,4.23518798701197,NA,NA,NA,NA,0.245499062538147
"SCE2","MICE-L","KML3D",4,10,0.215498980902538,0.0353716545726733,0.0111854993058357,135.584281341255,11.1814481452761,3.53588436781376,NA,NA,NA,NA,0.301916599273682
"SCE2","MICE-L","KML3D",5,10,0.186997634435584,0.0241580618376432,0.00763944992621454,111.244531266769,9.1846781529604,2.90445025389433,NA,NA,NA,NA,0.378876972198486
"SCE2","MICE-L","LCMM",2,10,0.136925689708143,0.102957063460317,0.0325578821737098,205.043196206032,32.0247503425741,10.1271152580792,25446.0904779588,398.72515223501,NA,NA,16.2172947883606
"SCE2","MICE-L","LCMM",3,10,0.108264869838594,0.0557234920125703,0.0176213153937922,212.293223803335,35.8370700201929,11.3326765930746,25438.9880591335,419.444419212064,NA,NA,31.5558228254318
"SCE2","MICE-L","LCMM",4,10,0.120635638682119,0.0571428395133919,0.0180701524831786,218.487156158974,33.7600028757581,10.675850290123,25450.9709863468,419.444419158601,NA,NA,72.0677987575531
"SCE2","MICE-L","LCMM",5,10,0.167870071352432,0.0975894920954166,0.0308605070720515,183.955790094484,18.3413755892482,5.80005222826371,25442.9254760039,430.58899028303,NA,NA,231.34382174015
"SCE2","MICE-L","flexmix",2,10,0.424157173666883,0.0296705311981082,0.00938264579731064,197.873010130588,20.7506393056592,6.56192831104981,24191.7200875805,533.946144087353,NA,NA,0.168994498252869
"SCE2","MICE-L","flexmix",3,10,0.252880151302727,0.0238896106384049,0.00755455820319486,143.573535077565,10.912801908008,3.45093096835367,22298.5777864593,560.590536758174,NA,NA,0.688477563858032
"SCE2","MICE-L","flexmix",4,10,0.21758672421888,0.0183183100445554,0.00579275826259354,120.797878262698,9.6800333096267,3.06109530847183,21497.7093650081,599.956918562593,NA,NA,0.684654688835144
"SCE2","MICE-L","flexmix",5,10,0.181551680945851,0.0176321191889503,0.00557576566126437,100.143228950641,9.33886786522122,2.95320932214534,21117.4716411283,584.558842711357,NA,NA,1.11861593723297
"SCE2","MICE-L","mixAK",2,10,0.301966501640627,0.063504759425365,0.0200819682045199,215.965678302723,20.147978073455,6.37135009592491,NA,NA,27675.8615974081,347.455522370199,23.8534075498581
"SCE2","MICE-L","mixAK",3,10,0.265301631970984,0.0377067904623911,0.011923934111587,146.742629827618,11.576412416571,3.66078303698183,NA,NA,27666.0092341174,339.812822843052,31.6915576934814
"SCE2","MICE-L","mixAK",4,10,0.218603160531256,0.0392716350501537,0.0124187814197387,116.599300184839,15.5796319978868,4.92671222205619,NA,NA,28330.2840464146,462.436200147758,39.7819891929626
"SCE2","MICE-L","mixAK",5,10,0.185961355928519,0.0267516792373131,0.00845962376241454,89.2090750207458,11.4828825148957,3.63120628511927,NA,NA,28301.2886440231,326.773020181059,47.6153873443604
"SCE2","eCDF-Copula","GBMT",2,9,0.423450872367271,0.0658725936985725,0.0219575312328575,213.971790186711,22.958692822886,7.65289760762868,20877.4708715761,618.080351487696,NA,NA,27.7687835693359
"SCE2","eCDF-Copula","GBMT",3,9,0.292716013088162,0.0375941238930352,0.0125313746310117,154.303246886624,15.2119399891671,5.07064666305571,19267.4356473138,634.032432360941,NA,NA,112.659610536363
"SCE2","eCDF-Copula","GBMT",4,9,0.300317558199487,0.0412449335140244,0.0137483111713415,123.188582475995,19.6991424422641,6.56638081408802,18557.6024201342,640.034404631859,NA,NA,234.795982811186
"SCE2","eCDF-Copula","GBMT",5,9,0.239107508852036,0.0337452801539329,0.0112484267179776,109.37032582822,10.3858947689448,3.46196492298161,17980.3073349032,615.369341265752,NA,NA,272.368967400657
"SCE2","eCDF-Copula","KML3D",2,9,0.22043414073652,0.0393805375432777,0.0131268458477592,276.962427802996,33.8688762348746,11.2896254116249,NA,NA,NA,NA,0.156374745898777
"SCE2","eCDF-Copula","KML3D",3,9,0.245154245284423,0.043001230584322,0.0143337435281073,207.058488694609,19.5103359440626,6.50344531468752,NA,NA,NA,NA,0.198605219523112
"SCE2","eCDF-Copula","KML3D",4,9,0.207593205880966,0.027605148484567,0.00920171616152234,163.248845272425,17.1703795385911,5.72345984619704,NA,NA,NA,NA,0.241470177968343
"SCE2","eCDF-Copula","KML3D",5,9,0.179372577711421,0.0265956361625295,0.00886521205417649,133.259651056029,13.5176604215273,4.50588680717577,NA,NA,NA,NA,0.290413697560628
"SCE2","eCDF-Copula","LCMM",2,9,0.109003725613281,0.0882420137027446,0.0294140045675815,243.074890439482,37.7837466805343,12.5945822268448,24465.7794940129,516.27311426399,NA,NA,19.6264570554097
"SCE2","eCDF-Copula","LCMM",3,9,0.110213581471703,0.0579005986693597,0.0193001995564532,250.081400236152,48.9402210866177,16.3134070288726,24453.71560665,554.644788919552,NA,NA,30.2954902648926
"SCE2","eCDF-Copula","LCMM",4,9,0.125805609156095,0.067274610482681,0.0224248701608937,254.828325022672,48.697749772137,16.232583257379,24465.6985382434,554.644789392768,NA,NA,71.3526683383518
