cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,5,0.31584146116331885,40.56346725369356,231501.34120034773,NA,151.33941221237183,SCE3,LME-S
KML3D,2,0.24361274537590585,138.125595943567,NA,NA,0.39474987983703613,SCE3,LME-S
KML3D,3,0.22110773111425444,93.9406961661092,NA,NA,0.46793699264526367,SCE3,LME-S
KML3D,4,0.335928129641886,76.5811914612145,NA,NA,0.575498104095459,SCE3,LME-S
KML3D,5,0.08387679341828032,56.36054429071191,NA,NA,0.6923694610595703,SCE3,LME-S
flexmix,2,0.4475203239367684,128.17897422603613,253106.2500796301,NA,0.4680988788604736,SCE3,LME-S
flexmix,3,0.3313032592687496,108.86408265127358,243869.82836851417,NA,0.7392072677612305,SCE3,LME-S
flexmix,4,0.25458825296300397,83.98466403498932,238649.22462126208,NA,1.1694161891937256,SCE3,LME-S
flexmix,5,0.2800144317752669,68.22823311076831,237931.83376323944,NA,1.8448362350463867,SCE3,LME-S
GBMT,2,0.3347702705249075,182.17274127757815,22103.22167525955,NA,39.79453206062317,SCE2,MICE-CS
GBMT,3,0.2523283428799241,136.2263820736478,20498.116950609743,NA,94.16898369789124,SCE2,MICE-CS
GBMT,4,0.2275283257191209,112.93189571305,19910.867772740232,NA,119.48927116394044,SCE2,MICE-CS
GBMT,5,0.22306847947121697,105.5682578635666,19302.73401747675,NA,225.00636529922485,SCE2,MICE-CS
KML3D,2,0.21015571330432797,235.03624660052049,NA,NA,0.1508469581604004,SCE2,MICE-CS
KML3D,3,0.1801453829359995,183.53153725010415,NA,NA,0.19547605514526367,SCE2,MICE-CS
KML3D,4,0.19250667981118808,152.62078212860865,NA,NA,0.24417400360107425,SCE2,MICE-CS
KML3D,5,0.18177548879948652,123.40602417125156,NA,NA,0.2763345241546631,SCE2,MICE-CS
flexmix,2,0.3008325118251951,198.72621226658325,24390.314334033672,NA,0.16371774673461914,SCE2,MICE-CS
flexmix,3,0.25445802303333903,148.4787018662281,22189.406291544412,NA,0.1741738319396973,SCE2,MICE-CS
flexmix,4,0.16659730645120427,132.33080577355685,21372.002180912987,NA,0.4311983585357666,SCE2,MICE-CS
flexmix,5,0.16164814021755752,113.35683818131106,20705.848909758184,NA,0.4453880786895752,SCE2,MICE-CS
LCMM,2,0.01504643234982973,165.31161521660266,24773.68665109481,NA,22.954633951187137,SCE2,MICE-CS
LCMM,3,0.01760509404148453,169.72592870903145,24785.669580189864,NA,30.815770149230957,SCE2,MICE-CS
LCMM,4,0.02181968662415583,177.19537024647127,24797.652509283605,NA,149.75215816497803,SCE2,MICE-CS
LCMM,5,0.01895974214750683,172.2302206407093,24809.635438377863,NA,211.65151262283325,SCE2,MICE-CS
GBMT,2,0.8368183238616288,114.81944305201606,237516.02234353975,NA,21.20389485359192,SCE3,MICE-CS
GBMT,3,0.6000036079591579,79.63502291862075,230570.48990951772,NA,63.24782729148865,SCE3,MICE-CS
GBMT,4,0.559475014148249,53.33213518959303,228541.55378409848,NA,77.2587902545929,SCE3,MICE-CS
GBMT,5,0.5291061696874839,35.46038831991866,226729.78326073012,NA,118.04372930526732,SCE3,MICE-CS
KML3D,2,0.26381393057331887,125.20271531573106,NA,NA,0.3896753787994385,SCE3,MICE-CS
KML3D,3,0.25592887236834666,83.87200978498673,NA,NA,0.488154411315918,SCE3,MICE-CS
KML3D,4,0.26391443645255036,69.692712014987407,NA,NA,0.6121692657470703,SCE3,MICE-CS
KML3D,5,0.11236878394307112,53.49303360336391,NA,NA,0.66477370262146,SCE3,MICE-CS
flexmix,2,0.5996221739601539,111.83717617791618,248076.3761605082,NA,0.36095762252807617,SCE3,MICE-CS
flexmix,3,0.4865977896085464,74.86499611767927,236535.10071531395,NA,0.7642574310302734,SCE3,MICE-CS
flexmix,4,0.31536030366385664,69.18365529711787,231045.62655293956,NA,1.9337522983551023,SCE3,MICE-CS
flexmix,5,0.2674219990180386,61.302339515865846,228055.4167056924,NA,2.278959035873413,SCE3,MICE-CS
GBMT,2,0.3347995176364185,196.9968039666957,21695.80172466042,NA,26.21627116203308,SCE2,eCDF-Copula
GBMT,3,0.2465565284659748,144.06691077508313,20018.881014003186,NA,91.24298548698424,SCE2,eCDF-Copula
GBMT,4,0.29665691070654987,103.18112115394251,19397.070266204835,NA,176.56206440925598,SCE2,eCDF-Copula
GBMT,5,0.1999999370976411,99.75798847556352,18789.128185625428,NA,296.66120862960815,SCE2,eCDF-Copula
KML3D,2,0.20099811676082868,245.6767404942176,NA,NA,0.16002535820007324,SCE2,eCDF-Copula
KML3D,3,0.19345707974838744,188.2481248301257,NA,NA,0.18663930892944336,SCE2,eCDF-Copula
KML3D,4,0.1953411400317865,157.11429799862768,NA,NA,0.2452836036682129,SCE2,eCDF-Copula
KML3D,5,0.16302115845458148,127.65552121754313,NA,NA,0.2845935821533203,SCE2,eCDF-Copula
flexmix,2,0.2899316062176166,210.1437543395403,24060.51994428655,NA,0.11718106269836426,SCE2,eCDF-Copula
